capitulo,titulo_capitulo,articulo,texto
Capítulo II,Derechos Fundamentales y Garantías,Artículo 115,"2. La nacionalidad chilena confiere el derecho incondicional a residir en el territorio chileno y a retornar a él. Concede, además, el derecho a la protección diplomática por parte del Estado de Chile y los demás derechos que la Constitución y las leyes vinculen al estatuto de nacionalidad."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 116,"1. La nacionalidad chilena únicamente se pierde por las siguientes causales, y solo si con ello la persona no queda en condición de apátrida:"
Capítulo II,Derechos Fundamentales y Garantías,Artículo 116,    - a) Renuncia voluntaria manifestada ante autoridad chilena competente.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 116,"    - b) Cancelación de la carta de nacionalización, salvo que se haya obtenido por declaración falsa o por fraude. Esto último no será aplicable a niñas, niños y adolescentes."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 116,    - c) Revocación por ley de la nacionalización concedida por gracia.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 116,"2. En el caso de la letra a), la nacionalidad podrá recuperarse por carta de nacionalización. En los restantes casos, podrá ser solo por ley."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 117,"1. Las personas que tienen la nacionalidad chilena son ciudadanas y ciudadanos de Chile. Las que pierdan aquella, perderán también la ciudadanía."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 117,"2. Asimismo, serán ciudadanas y ciudadanos las personas extranjeras avecindadas en Chile por al menos cinco años. En este caso, se perderá la ciudadanía si cesa el avecindamiento."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 117,"3. El Estado promoverá el ejercicio activo y progresivo, a través de los distintos mecanismos de participación, de los derechos derivados de la ciudadanía, en especial en favor de niñas, niños, adolescentes, personas privadas de libertad, personas con discapacidad, personas mayores y personas cuyas circunstancias o capacidades personales disminuyan sus posibilidades de ejercicio."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 118,1. Las personas chilenas que se encuentren en el exterior forman parte de la comunidad política del país.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 118,"2. Se garantiza el derecho a votar en las elecciones de carácter nacional, presidenciales, parlamentarias, plebiscitos y consultas, conforme a esta Constitución y las leyes."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 118,"3. En caso de crisis humanitaria y demás situaciones que determine la ley, el Estado asegurará la reunificación familiar y el retorno voluntario al territorio nacional."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 118,## Acciones constitucionales
Capítulo II,Derechos Fundamentales y Garantías,Artículo 119,"1. Toda persona que, por causa de un acto o una omisión, sufra una amenaza, perturbación o privación en el legítimo ejercicio de sus derechos fundamentales, podrá concurrir por sí o por cualquiera en su nombre ante el tribunal de instancia que determine la ley, el que adoptará de inmediato todas las providencias que juzgue necesarias para restablecer el imperio del derecho. Esta acción se podrá deducir mientras la vulneración persista. La acción se tramitará sumariamente y con preferencia a toda otra causa que conozca el tribunal."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 119,"2. Esta acción cautelar será procedente cuando la persona afectada no disponga de otra acción, recurso o medio procesal para reclamar de su derecho, salvo aquellos casos en que, por su urgencia y gravedad, pueda provocarle un daño grave inminente o irreparable."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 119,"3. Al acoger o rechazar la acción, se deberá señalar el procedimiento judicial que en derecho corresponda y que permita la resolución del asunto."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 119,"4. El tribunal competente podrá en cualquier momento del procedimiento, de oficio o a petición de parte, decretar cualquier medida provisional que estime necesaria, y alzarlas o dejarlas sin efecto cuando lo estime conveniente."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 119,"5. No podrá deducirse esta acción contra resoluciones judiciales, salvo respecto de aquellas personas que no hayan intervenido en el proceso respectivo y a quienes afecten sus resultados."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 119,"6. La apelación en contra de la sentencia definitiva será conocida por la corte de apelaciones respectiva. Excepcionalmente, este recurso será conocido por la Corte Suprema si respecto a la materia de derecho objeto de la acción existen interpretaciones contradictorias sostenidas en dos o más sentencias firmes emanadas de cortes de apelaciones. De estimarse en el examen de admisibilidad que no existe tal contradicción, se ordenará que sea remitido junto con sus antecedentes a la corte de apelaciones correspondiente para que, si lo estima admisible, lo conozca y resuelva."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 119,7. Esta acción también procederá cuando por acto o resolución administrativa se prive o desconozca la nacionalidad chilena. La interposición de la acción suspenderá los efectos del acto o resolución recurrida.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 119,"8. Tratándose de los derechos de la naturaleza y derechos ambientales, podrán ejercer esta acción tanto la Defensoría de la Naturaleza como cualquier persona o grupo."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 119,"9. En el caso de los derechos de los pueblos indígenas y tribales, esta acción podrá ser deducida por las instituciones representativas de los pueblos indígenas, sus integrantes o la Defensoría del Pueblo."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 120,"1. Toda persona que sea arrestada, detenida o presa con infracción a lo dispuesto en esta Constitución o las leyes podrá concurrir por sí o por cualquiera persona en su nombre, sin formalidades, ante la magistratura que señale la ley, a fin de que esta adopte de inmediato las providencias que sean necesarias para restablecer el imperio del derecho y asegurar la debida protección de la persona afectada, pudiendo inclusive decretar su libertad inmediata."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 120,"2. Esa magistratura podrá ordenar que el individuo sea traído a su presencia y su decreto será precisamente obedecido por todos los encargados de las cárceles o los lugares de detención. Instruida de los antecedentes, decretará su libertad inmediata o hará que se reparen los defectos legales o pondrá al individuo a disposición del tribunal competente, procediendo en todo breve y sumariamente, y corrigiendo por sí esos defectos o dando cuenta a quien corresponda para que los corrija. Sin perjuicio de lo señalado, el tribunal deberá agotar todas las medidas conducentes a determinar la existencia y condiciones de la persona que se encuentre privada de libertad."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 120,"3. Esta acción también procederá respecto de toda persona que ilegalmente sufra una privación, perturbación o amenaza a su derecho a la libertad personal, ambulatoria o seguridad individual, debiendo, en tal caso, adoptarse todas las medidas que sean conducentes para restablecer el imperio del derecho y asegurar la debida protección del afectado."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 121,"1. Toda persona que sea absuelta, sobreseída definitivamente o que no resulte condenada será compensada por cada día que haya permanecido privada de libertad. El monto diario de compensación será fijado por la ley y su pago se realizará mediante un procedimiento simple y expedito."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 121,2. La compensación no procederá cuando la privación de libertad se haya decretado por una causal fundada en una conducta efectiva del imputado.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 122,1. Toda persona que haya sido condenada por sentencia dictada con error injustificado o falta de servicio judicial tendrá derecho a ser indemnizada de todos los perjuicios que el proceso y la decisión condenatoria le hayan causado.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 122,"2. Si todo o parte del daño deriva de la privación de libertad, la compensación, que siempre se podrá exigir conforme al artículo anterior, será imputada a la presente indemnización. La misma indemnización procederá por las actuaciones o decisiones administrativas derivadas del funcionamiento judicial que, con falta de servicio, generen daño."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 122,## Defensoría del Pueblo
Capítulo II,Derechos Fundamentales y Garantías,Artículo 123,"1. Un órgano autónomo, con personalidad jurídica y patrimonio propio, denominado Defensoría del Pueblo, tendrá como función la promoción y protección de los derechos humanos asegurados en esta Constitución, en los tratados internacionales de derechos humanos ratificados y vigentes en Chile, así como los emanados de los principios generales del derecho y de las normas imperativas reconocidas por el derecho internacional, ante los actos u omisiones de los órganos de la Administración del Estado y de las entidades privadas que ejerzan actividades de servicio o utilidad pública, en la forma que establezca la ley."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 123,"2. La Defensoría del Pueblo funcionará desconcentradamente en defensorías regionales, conforme a lo que establezca su ley. La ley determinará las atribuciones, la organización, el funcionamiento y los procedimientos de la Defensoría del Pueblo."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 124,1. La Defensoría del Pueblo tendrá las siguientes atribuciones:
Capítulo II,Derechos Fundamentales y Garantías,Artículo 124,"    - a) Fiscalizar a los órganos del Estado y a las entidades privadas que ejerzan actividades de servicio o utilidad pública, en el cumplimiento de sus obligaciones en materia de derechos humanos."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 124,    - b) Formular recomendaciones en las materias de su competencia.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 124,    - c) Realizar acciones de seguimiento y monitoreo de las recomendaciones formuladas por los organismos internacionales en materia de derechos humanos y de las sentencias dictadas contra el Estado de Chile por tribunales internacionales de derechos humanos.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 124,"    - d) Tramitar y hacer seguimiento de los reclamos sobre vulneraciones de derechos humanos, y derivar en su caso."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 124,"    - e) Deducir acciones y recursos que esta Constitución y las leyes establecen, cuando se identifiquen patrones de violación de derechos humanos."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 124,"    - f) Interponer acciones constitucionales y legales ante los tribunales de justicia respecto de hechos que revistan carácter de crímenes de genocidio, de lesa humanidad o de guerra, tortura, desaparición forzada de personas, trata de personas y demás que establezca la ley."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 124,"    - g) Custodiar y preservar los antecedentes reunidos por comisiones de verdad, justicia, reparación y garantías de no repetición."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 124,    - h) Recomendar la presentación de proyectos de ley en materias de su competencia.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 124,    - i) Promover la formación y educación en derechos humanos.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 124,    - j) Las demás que le encomienden la Constitución y la ley.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 124,"2. Todo órgano deberá colaborar con los requerimientos de la Defensoría del Pueblo, pudiendo acceder a la información necesaria y constituirse en dependencias de los órganos objeto de fiscalización, en conformidad con la ley."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 124,3. Durante los estados de excepción constitucional la Defensoría del Pueblo ejercerá plenamente sus atribuciones.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 125,"1. La dirección de la Defensoría del Pueblo estará a cargo de una defensora o un defensor del pueblo, quien será designado por la mayoría de quienes integren el Congreso de Diputadas y Diputados y la Cámara de las Regiones, en sesión conjunta, a partir de una terna elaborada por las organizaciones sociales y de derechos humanos, en la forma que determine la ley."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 125,2. Las personas propuestas por las organizaciones deberán cumplir los requisitos de comprobada idoneidad y trayectoria en la defensa de los derechos humanos.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 125,"3. Quien dirija la Defensoría del Pueblo durará seis años en el ejercicio del cargo, sin reelección. Al cesar su mandato y durante los dieciocho meses siguientes no podrá optar a ningún cargo de elección popular ni de exclusiva confianza de alguna autoridad."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 125,"4. Gozará de inamovilidad en su cargo y será inviolable en el ejercicio de sus atribuciones. Cesará en su cargo por cumplimento de su período, por condena por crimen o simple delito, renuncia, enfermedad incompatible con el ejercicio de la función y por remoción. Podrá ser removido por la Corte Suprema, por notable abandono de deberes, en la forma que establezca la ley."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 125,"5. Existirá un Consejo de la Defensoría del Pueblo, cuya composición, funcionamiento y atribuciones serán determinados por la ley."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 126,"1. Existirá un órgano autónomo, con personalidad jurídica y patrimonio propio, denominado Defensoría de los Derechos de la Niñez, que tendrá por objeto la promoción y protección de los derechos de que son titulares niñas, niños y adolescentes y velar por su interés superior. Lo anterior, conforme a esta Constitución, la Convención sobre los Derechos del Niño, los demás tratados internacionales ratificados y vigentes en Chile y la legislación nacional."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 126,"2. La ley determinará la organización, las funciones y las atribuciones de la Defensoría de los Derechos de la Niñez."
Capítulo III,Naturaleza y Medioambiente,Artículo 127,1. La naturaleza tiene derechos. El Estado y la sociedad tienen el deber de protegerlos y respetarlos.
Capítulo III,Naturaleza y Medioambiente,Artículo 127,2. El Estado debe adoptar una administración ecológicamente responsable y promover la educación ambiental y científica mediante procesos de formación y aprendizaje permanentes.
Capítulo III,Naturaleza y Medioambiente,Artículo 128,"1. Son principios para la protección de la naturaleza y el medioambiente, a lo menos, los de progresividad, precautorio, preventivo, de justicia ambiental, de solidaridad intergeneracional, de responsabilidad y de acción climática justa."
Capítulo III,Naturaleza y Medioambiente,Artículo 128,"2. Quien dañe el medioambiente tiene el deber de repararlo, sin perjuicio de las sanciones administrativas, penales y civiles que correspondan conforme a la Constitución y las leyes."
Capítulo III,Naturaleza y Medioambiente,Artículo 129,"1. Es deber del Estado adoptar acciones de prevención, adaptación y mitigación de los riesgos, las vulnerabilidades y los efectos provocados por la crisis climática y ecológica."
Capítulo III,Naturaleza y Medioambiente,Artículo 129,"2. El Estado debe promover el diálogo, la cooperación y la solidaridad internacional para adaptarse, mitigar y afrontar la crisis climática y ecológica y proteger la naturaleza."
Capítulo III,Naturaleza y Medioambiente,Artículo 130,"El Estado protege la biodiversidad, debiendo preservar, conservar y restaurar el hábitat de las especies nativas silvestres en la cantidad y distribución adecuada para sostener la viabilidad de sus poblaciones y asegurar las condiciones para su supervivencia y no extinción."
Capítulo III,Naturaleza y Medioambiente,Artículo 131,"1. Los animales son sujetos de especial protección. El Estado los protegerá, reconociendo su sintiencia y el derecho a vivir una vida libre de maltrato."
Capítulo III,Naturaleza y Medioambiente,Artículo 131,2. El Estado y sus órganos promoverán una educación basada en la empatía y en el respeto hacia los animales.
Capítulo III,Naturaleza y Medioambiente,Artículo 132,"El Estado, a través de un sistema nacional de áreas protegidas, único, integral y de carácter técnico, debe garantizar la preservación, restauración y conservación de espacios naturales. Asimismo, debe monitorear y mantener información actualizada relativa a los atributos de dichas áreas y garantizar la participación de las comunidades locales y entidades territoriales."
Capítulo III,Naturaleza y Medioambiente,Artículo 133,"Es deber del Estado regular y fomentar la gestión, reducción y valorización de residuos."
Capítulo III,Naturaleza y Medioambiente,Artículo 133,## Bienes comunes naturales
Capítulo III,Naturaleza y Medioambiente,Artículo 134,1. Los bienes comunes naturales son elementos o componentes de la naturaleza sobre los cuales el Estado tiene un deber especial de custodia con el fin de asegurar los derechos de la naturaleza y el interés de las generaciones presentes y futuras.
Capítulo III,Naturaleza y Medioambiente,Artículo 134,"2. Son bienes comunes naturales el mar territorial y su fondo marino; las playas; las aguas, glaciares y humedales; los campos geotérmicos; el aire y la atmósfera; la alta montaña, las áreas protegidas y los bosques nativos; el subsuelo, y los demás que declaren la Constitución y la ley."
Capítulo III,Naturaleza y Medioambiente,Artículo 134,"3. Entre estos bienes son inapropiables el agua en todos sus estados, el aire, el mar territorial y las playas, los reconocidos por el derecho internacional y los que la Constitución o las leyes declaren como tales."
Capítulo III,Naturaleza y Medioambiente,Artículo 134,"4. Tratándose de los bienes comunes naturales que sean inapropiables, el Estado debe preservarlos, conservarlos y, en su caso, restaurarlos. Debe, asimismo, administrarlos de forma democrática, solidaria, participativa y equitativa. Respecto de aquellos bienes comunes naturales que se encuentren en el dominio privado, el deber de custodia del Estado implica la facultad de regular su uso y goce, con las finalidades establecidas en el inciso 1."
Capítulo III,Naturaleza y Medioambiente,Artículo 134,"5. El Estado podrá otorgar autorizaciones administrativas para el uso de los bienes comunes naturales inapropiables, conforme a la ley, de manera temporal, sujetas a causales de caducidad, extinción y revocación, con obligaciones específicas de conservación, justificadas en el interés público, la protección de la naturaleza y el beneficio colectivo. Estas autorizaciones, ya sean individuales o colectivas, no generan derechos de propiedad."
Capítulo III,Naturaleza y Medioambiente,Artículo 134,6. Cualquier persona podrá exigir el cumplimiento de los deberes constitucionales de custodia de los bienes comunes naturales. La ley determinará el procedimiento y los requisitos de esta acción.
Capítulo III,Naturaleza y Medioambiente,Artículo 135,"1. El Estado debe impulsar medidas para conservar la atmósfera y el cielo nocturno, según las necesidades territoriales."
Capítulo III,Naturaleza y Medioambiente,Artículo 135,2. Es deber del Estado contribuir y cooperar internacionalmente en la investigación del espacio con fines pacíficos y científicos.
Capítulo III,Naturaleza y Medioambiente,Artículo 136,"El Estado, como custodio de los humedales, bosques nativos y suelos, asegurará la integridad de estos ecosistemas, sus funciones, procesos y conectividad hídrica."
Capítulo III,Naturaleza y Medioambiente,Artículo 137,"El Estado garantiza la protección de los glaciares y del entorno glaciar, incluyendo los suelos congelados y sus funciones ecosistémicas."
Capítulo III,Naturaleza y Medioambiente,Artículo 138,El Estado protegerá la función ecológica y social de la tierra.
Capítulo III,Naturaleza y Medioambiente,Artículo 139,"1. Chile es un país oceánico que reconoce la existencia del maritorio como una categoría jurídica que, al igual que el territorio, debe contar con regulación normativa específica, que incorpore sus características propias en los ámbitos social, cultural, medioambiental y económico."
Capítulo III,Naturaleza y Medioambiente,Artículo 139,"2. Es deber del Estado la conservación, la preservación y el cuidado de los ecosistemas marinos y costeros continentales, insulares y antártico, propiciando las diversas vocaciones y usos asociados a ellos y asegurando, en todo caso, su preservación, conservación y restauración ecológica."
Capítulo III,Naturaleza y Medioambiente,Artículo 139,"3. Una ley establecerá la división administrativa del maritorio, su ordenación espacial, gestión integrada y los principios básicos que deberán informar los cuerpos legales que materialicen su institucionalización, mediante un trato diferenciado, autónomo y descentralizado, según corresponda, sobre la base de la equidad y justicia territorial."
Capítulo III,Naturaleza y Medioambiente,Artículo 139,## Estatuto de las aguas
Capítulo III,Naturaleza y Medioambiente,Artículo 140,"1. El agua es esencial para la vida y el ejercicio de los derechos humanos y de la naturaleza. El Estado debe proteger las aguas, en todos sus estados y fases, y su ciclo hidrológico."
Capítulo III,Naturaleza y Medioambiente,Artículo 140,"2. Siempre prevalecerá el ejercicio del derecho humano al agua, el saneamiento y el equilibrio de los ecosistemas. La ley determinará los demás usos."
Capítulo III,Naturaleza y Medioambiente,Artículo 141,"El Estado deberá promover y proteger la gestión comunitaria de agua potable y saneamiento, especialmente en áreas y territorios rurales y extremos, en conformidad con la ley."
Capítulo III,Naturaleza y Medioambiente,Artículo 142,"El Estado velará por un uso razonable de las aguas. Las autorizaciones de uso de agua serán otorgadas por la Agencia Nacional del Agua, de carácter incomerciable, concedidas basándose en la disponibilidad efectiva de las aguas, y obligarán al titular al uso que justifica su otorgamiento."
Capítulo III,Naturaleza y Medioambiente,Artículo 143,"1. El Estado asegurará un sistema de gobernanza de las aguas participativo y descentralizado, a través del manejo integrado de cuencas. La cuenca hidrográfica será la unidad mínima de gestión."
Capítulo III,Naturaleza y Medioambiente,Artículo 143,"2. Los consejos de cuenca serán los responsables de la administración de las aguas, sin perjuicio de la supervigilancia y demás atribuciones de la Agencia Nacional del Agua y de las competencias asignadas a otras instituciones."
Capítulo III,Naturaleza y Medioambiente,Artículo 143,"3. La ley regulará las atribuciones, el funcionamiento y la composición de los consejos. Estos deben integrarse, a lo menos, por los titulares de autorizaciones de uso de agua, la sociedad civil y las entidades territoriales con presencia en la respectiva cuenca, velando que ningún actor pueda alcanzar el control por sí solo."
Capítulo III,Naturaleza y Medioambiente,Artículo 143,"4. Los consejos podrán coordinarse y asociarse cuando sea pertinente. En aquellos casos en que no se constituya un consejo, la administración será determinada por la Agencia Nacional del Agua."
Capítulo III,Naturaleza y Medioambiente,Artículo 144,"1. La Agencia Nacional del Agua es un órgano autónomo, con personalidad jurídica y patrimonio propio, que funciona de forma desconcentrada y está encargada de asegurar el uso sostenible del agua para las generaciones presentes y futuras, el acceso al derecho humano al agua y al saneamiento y la conservación y preservación de sus ecosistemas asociados. Para ello, se encarga de recopilar información, coordinar, dirigir y fiscalizar la actuación de los órganos del Estado con competencias en materia hídrica y de los particulares en su caso."
Capítulo III,Naturaleza y Medioambiente,Artículo 144,2. La Agencia Nacional del Agua tiene las siguientes atribuciones:
Capítulo III,Naturaleza y Medioambiente,Artículo 144,    - a) Liderar y coordinar a los organismos con competencia en materia hídrica.
Capítulo III,Naturaleza y Medioambiente,Artículo 144,    - b) Velar por el cumplimiento de la Política Nacional Hídrica que establezca la autoridad respectiva.
Capítulo III,Naturaleza y Medioambiente,Artículo 144,"    - c) Otorgar, revisar, modificar, caducar o revocar autorizaciones de uso de agua."
Capítulo III,Naturaleza y Medioambiente,Artículo 144,    - d) Implementar y monitorear los instrumentos de gestión y protección ambiental en materia hídrica.
Capítulo III,Naturaleza y Medioambiente,Artículo 144,    - e) Coordinar y elaborar un sistema unificado de información de carácter público.
Capítulo III,Naturaleza y Medioambiente,Artículo 144,"    - f) Impulsar la constitución de los consejos de cuencas. Les prestará asistencia para que realicen la gestión integrada, gobernanza participativa y planificación de las intervenciones en los cuerpos de agua y los ecosistemas asociados a la o las respectivas cuencas."
Capítulo III,Naturaleza y Medioambiente,Artículo 144,    - g) Fiscalizar el uso responsable y sostenible del agua.
Capítulo III,Naturaleza y Medioambiente,Artículo 144,"    - h) Imponer las sanciones administrativas que correspondan, las que podrán ser reclamadas ante los tribunales de justicia."
Capítulo III,Naturaleza y Medioambiente,Artículo 144,    - i) Determinar la calidad de los servicios sanitarios.
Capítulo III,Naturaleza y Medioambiente,Artículo 144,    - j) Las demás que establezca la ley.
Capítulo III,Naturaleza y Medioambiente,Artículo 144,"3. La ley regulará la organización, la designación, la estructura, el funcionamiento y las demás funciones y competencias de la Agencia Nacional del Agua."
Capítulo III,Naturaleza y Medioambiente,Artículo 144,## Estatuto de los minerales
Capítulo III,Naturaleza y Medioambiente,Artículo 145,"1. El Estado tiene el dominio absoluto, exclusivo, inalienable e imprescriptible de todas las minas y las sustancias minerales, metálicas, no metálicas y los depósitos de sustancias fósiles e hidrocarburos existentes en el territorio nacional, con excepción de las arcillas superficiales, sin perjuicio de la propiedad sobre los terrenos en que estén situadas."
Capítulo III,Naturaleza y Medioambiente,Artículo 145,"2. La exploración, la explotación y el aprovechamiento de estas sustancias se sujetarán a una regulación que considere su carácter finito, no renovable, de interés público intergeneracional y la protección ambiental."
Capítulo III,Naturaleza y Medioambiente,Artículo 146,"Quedan excluidos de toda actividad minera los glaciares, las áreas protegidas, las que por razones de protección hidrográfica establezca la ley y las demás que ella declare."
Capítulo III,Naturaleza y Medioambiente,Artículo 147,"1. El Estado debe establecer una política para la actividad minera y su encadenamiento productivo, la que considerará, a lo menos, la protección ambiental y social, la innovación y la generación de valor agregado."
Capítulo III,Naturaleza y Medioambiente,Artículo 147,"2. El Estado debe regular los impactos y efectos sinérgicos generados en las distintas etapas de la actividad minera, incluyendo su encadenamiento productivo, cierre o paralización, en la forma que establezca la ley. Es obligación de quien realice la actividad minera destinar recursos para reparar los daños causados, los pasivos ambientales y mitigar sus efectos nocivos en los territorios en que esta se desarrolla, de acuerdo con la ley. La ley especificará el modo en que esta obligación se aplicará a la pequeña minería y pirquineros."
Capítulo III,Naturaleza y Medioambiente,Artículo 147,"3. El Estado adoptará las medidas necesarias para proteger a la pequeña minería y pirquineros, las fomentará y facilitará el acceso y uso de las herramientas, tecnologías y recursos para el ejercicio tradicional y sustentable de la actividad."
Capítulo III,Naturaleza y Medioambiente,Artículo 147,## Defensoría de la Naturaleza
Capítulo III,Naturaleza y Medioambiente,Artículo 148,"1. Un órgano autónomo, con personalidad jurídica y patrimonio propio, denominado Defensoría de la Naturaleza, tendrá como función la promoción y protección de los derechos de la naturaleza y de los derechos ambientales asegurados en esta Constitución, en los tratados internacionales ambientales ratificados y vigentes en Chile, frente los actos u omisiones de los órganos de la Administración del Estado y de entidades privadas."
Capítulo III,Naturaleza y Medioambiente,Artículo 148,"2. La Defensoría de la Naturaleza se desconcentrará en defensorías regionales. La ley determinará las atribuciones, la organización, el funcionamiento y los procedimientos de la Defensoría de la Naturaleza."
Capítulo III,Naturaleza y Medioambiente,Artículo 149,La Defensoría de la Naturaleza tendrá las siguientes atribuciones:
Capítulo III,Naturaleza y Medioambiente,Artículo 149,- a) Fiscalizar a los órganos del Estado y a las entidades privadas en el cumplimiento de sus obligaciones en materia de derechos ambientales y derechos de la naturaleza.
Capítulo III,Naturaleza y Medioambiente,Artículo 149,- b) Formular recomendaciones en las materias de su competencia.
Capítulo III,Naturaleza y Medioambiente,Artículo 149,- c) Tramitar y hacer seguimiento de los reclamos sobre vulneraciones de derechos ambientales y derivar en su caso.
Capítulo III,Naturaleza y Medioambiente,Artículo 149,- d) Deducir acciones constitucionales y legales cuando se vulneren derechos ambientales y de la naturaleza.
Capítulo III,Naturaleza y Medioambiente,Artículo 149,- e) Promover la formación y educación en derechos ambientales y de la naturaleza.
Capítulo III,Naturaleza y Medioambiente,Artículo 149,- f) Las demás que le encomienden la Constitución y la ley.
Capítulo III,Naturaleza y Medioambiente,Artículo 150,"La dirección de la Defensoría de la Naturaleza estará a cargo de una defensora o un defensor de la naturaleza, quien será designado en sesión conjunta del Congreso de Diputadas y Diputados y de la Cámara de las Regiones, por la mayoría de sus integrantes en ejercicio, a partir de una terna elaborada por las organizaciones ambientales de la sociedad civil, en la forma que determine la ley."
Capitulo IV,Participación Democrática,Artículo 151,"1. En Chile, la democracia se ejerce en forma directa, participativa, comunitaria y representativa."
Capitulo IV,Participación Democrática,Artículo 151,2. Es deber del Estado promover y garantizar la adopción de medidas para la participación efectiva de toda la sociedad en el proceso político y el pleno ejercicio de la democracia.
Capitulo IV,Participación Democrática,Artículo 151,"3. La actividad política organizada contribuye a la expresión de la voluntad popular y su funcionamiento respetará los principios de autonomía, probidad, transparencia financiera y democracia interna."
Capitulo IV,Participación Democrática,Artículo 151,## Participación y representación democrática
Capitulo IV,Participación Democrática,Artículo 152,"1. La ciudadanía tiene el derecho a participar de manera incidente o vinculante en los asuntos de interés público. Es deber del Estado dar adecuada publicidad a los mecanismos de democracia, tendiendo a favorecer una amplia deliberación de las personas, conforme a esta Constitución y las leyes."
Capitulo IV,Participación Democrática,Artículo 152,"2. Los poderes públicos deberán facilitar la participación del pueblo en la vida política, económica, cultural y social del país. Será deber de cada órgano del Estado disponer de los mecanismos para promover y asegurar la participación y deliberación ciudadana incidente en la gestión de asuntos públicos, incluyendo medios digitales."
Capitulo IV,Participación Democrática,Artículo 152,"3. La ley regulará la utilización de herramientas digitales en la implementación de los mecanismos de participación establecidos en esta Constitución y que sean distintos al sufragio, buscando que su uso promueva la más alta participación posible en dichos procesos, al igual que la más amplia información, transparencia, seguridad y accesibilidad del proceso para todas las personas sin distinción."
Capitulo IV,Participación Democrática,Artículo 153,"1. El Estado deberá garantizar a toda la ciudadanía, sin discriminación de ningún tipo, el ejercicio pleno de una democracia participativa, a través de mecanismos de democracia directa."
Capitulo IV,Participación Democrática,Artículo 153,"2. Corresponderá al Estado, en sus diferentes ámbitos y funciones, garantizar la participación democrática e incidencia política de todas las personas, especialmente la de los grupos históricamente excluidos y de especial protección."
Capitulo IV,Participación Democrática,Artículo 153,"3. El Estado deberá garantizar la inclusión de estos grupos en las políticas públicas y en el proceso de formación de las leyes, mediante mecanismos de participación popular y deliberación política, asegurando medidas afirmativas que posibiliten su participación efectiva."
Capitulo IV,Participación Democrática,Artículo 153,4. La ley deberá establecer las medidas afirmativas necesarias para garantizar la participación y representación política de las personas con discapacidad.
Capitulo IV,Participación Democrática,Artículo 154,1. Es deber del Estado garantizar la democracia ambiental. Se reconoce el derecho de participación informada en materias ambientales. Los mecanismos de participación serán determinados por ley.
Capitulo IV,Participación Democrática,Artículo 154,"2. Todas las personas tienen derecho a acceder a la información ambiental que conste en poder o custodia del Estado. Los particulares deberán entregar la información ambiental relacionada con su actividad, en los términos que establezca la ley."
